"
Source",Unit no.,Function,"Work party / supply depot address
",Town,Full Address,Latitude,Longitude,County (ancient),County (modern),Opened,Closed,"Established / run by (last name)
",First and middle names,Gender,Marital status,Collaborators
"Royal College of Science Sub-Depot report for 1915 and 1916 / 21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Ballinasloe,Ballinasloe Ireland ,53.3287621,-8.2269467,Galway,Galway,1915,[1919],Thorp,Mrs,f,married,"Mrs Davidson, Miss Johnson (quite before 1917), Miss Johnson (quite before 1917),
Miss Mabel Oliver (quite before 1917),
Miss M Davidson (quite before 1917)
"
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Ballineen,Ballineen Ireland ,51.735556,-8.948611,Cork,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1816,general supply depot,PARTRY,Ballinrobe,Ballinrobe Ireland ,53.6237338,-9.2211143,,Mayo,,[1919],Blosse Lynch,,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Ballybay,Ballybay Ireland ,54.1294617,-6.9027864,Monaghan,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4526,general supply depot,not stated,Ballycastle,Ballycastle Ireland ,55.2052888,-6.2532947,,Antrim,,[1919],Glover,not stated,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Ballydarton,Ballydarton Ireland ,52.7168071,-6.8437088,,,,[1919],,,,,
Royal College of Science Sub-Depot report for 1915 and 1916,none,moss collection centre,not stated,Ballygar,Ballygar Ireland ,53.5225627,-8.3257391,Galway,,,[1919],Murphy,Mr M,m,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Ballyglass,Ballyglass Ireland ,53.7401727,-9.1723961,Mayo,,,[1919],,,,,
 Royal College of Science Sub-Depot report for 1915 and 1916,none,moss collection centre,not stated,Ballymacward,Ballymacward Ireland ,53.3805093,-8.4875618,Galway,,,[1919],Johnston,Alicia,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Ballymahon,Ballymahon Ireland ,53.5643632,-7.7645964,Longford,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4282,general supply depot,TOWN HALL,Ballymena,Ballymena Ireland ,54.8652935,-6.2802213,,Antrim,,[1919],Morton,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5389,general supply depot,GRACEHILL,Ballymena,Ballymena Ireland ,54.8652935,-6.2802213,,Antrim,,[1919],Wilson,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,4364,general supply depot,ASHLEIGH,Ballymoney,Ballymoney Ireland ,55.0704888,-6.5173708,,Antrim,,[1919],Hamilton,not stated,f,married,
 Royal College of Science Sub-Depot report for 1915 and 1916,none,moss collection centre,not stated,Ballynahinch,Ballynahinch Ireland ,53.4638208,-9.882709,Galway,,,[1919],Berridge,Miss,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Ballyshannon,Ballyshannon Ireland ,54.5029882,-8.1920416,Donegal,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Baltinglass,Baltinglass Ireland ,52.9407807,-6.71098,Wicklow,Wicklow,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Baltitore,Baltitore Ireland ,51.4843274,-9.3661093,Wicklow,Wicklow,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Banaghe (now: Banagher / Beannchar),Banaghe (now: Banagher / Beannchar) Ireland ,53.1901112,-7.9861049,King's County,Offaly,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1678,general supply depot,CLONASLIE,Banbridge,Banbridge Ireland ,54.348729,-6.2704803,,Down,,[1919],Ferguson,N.G.,f,married,
http://www.scarletfinders.co.uk/178.html,5051,general supply depot,MILLTOWN HOUSE,Banbridge,Banbridge Ireland ,54.348729,-6.2704803,,Down,,[1919],Smythe,J. D.,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Bandon,Bandon Ireland ,51.7472382,-8.7253133,Cork,Cork,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4729,general supply depot,ARDENODI,Bannockstown,Bannockstown Ireland ,53.1226695,-6.6937866,,,,[1919],Honner,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Skibbereen Eagle 1882-1922, Saturday, September 16, 1916; Page: 2",none,moss collection centre,not stated,Bantry,Bantry Ireland ,51.6800803,-9.4525763,Cork,Cork,1916,[1919],Mrs. Golding,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Belcoo,Belcoo Ireland ,54.2964532,-7.871449,Fermanagh or Cavan (not clearly separated in original map),,,[1919],,,,,
"Belfast Newsletter 1738-1938, Wednesday, December 08, 1915; Page: 7",none,central supply depot for ULSTER,"no. 8, OLD TOWN HALL",Belfast,Belfast Ireland ,54.597285,-5.93012,,,Dec 1915,Dec. 1918,"Lady M'Cullaugh, the Lady Mayoress",,f,married,"Annie Lawley, Mrs. Hume"
http://www.scarletfinders.co.uk/178.html,1104,general supply depot,"THE RED HOUSE CLUB, 100 HIGH STREET",Belfast,Belfast Ireland ,54.597285,-5.93012,,Belfast Metropolitan Area,,[1919],Ballard,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,1119,general supply depot,"CHETWOOD, NOTTING HILL, MALONE ROAD",Belfast,Belfast Ireland ,54.597285,-5.93012,,Belfast Metropolitan Area,,[1919],Mackenzie,unkown,f,married,
http://www.scarletfinders.co.uk/178.html,1401,general supply depot,"34 GLANTANE STREET, ANTRIM ROAD",Belfast,Belfast Ireland ,54.597285,-5.93012,,Belfast Metropolitan Area,,[1919],Wilkins,C. A.,f,married,
http://www.scarletfinders.co.uk/178.html,1409,general supply depot,"34 GLANTANE STREET, ANTRIM ROAD",Belfast,Belfast Ireland ,54.597285,-5.93012,,Belfast Metropolitan Area,,[1919],Wilkins,C. A.,f,married,
http://www.scarletfinders.co.uk/178.html,1778,general supply depot,"CABIN HILL, KNOCK",Belfast,Belfast Ireland ,54.597285,-5.93012,,Belfast Metropolitan Area,,[1919],McCordie,R. J.,f,married,
http://www.scarletfinders.co.uk/178.html,5245,general supply depot,MUNICIPAL T. INSTITUTE,Belfast,Belfast Ireland ,54.597285,-5.93012,,Belfast Metropolitan Area,,[1919],Johnstone,"A.
",f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Bellmount,Bellmount Ireland ,53.2560708,-7.8951652,Galway,Galway,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Belturbet,Belturbet Ireland ,54.1019056,-7.4496679,Fermanagh and Cavan (not clearly separated),,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4798,general supply depot,CRAGG,Birdhill,Birdhill Ireland ,52.7674997,-8.4371207,Tipperary,Tipperary,,[1919],Going,not stated,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Birdhill,Birdhill Ireland ,52.7674997,-8.4371207,Tipperary,Tipperary,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1405,general supply depot,7 OXMANTOWN MALL,Birr,Birr Ireland ,53.0980052,-7.9096882,King's County,Offaly,,[1919],Bredin,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Birr,Birr Ireland ,53.0980052,-7.9096882,King's County,Offaly,,[1919],,,,,
"Evening Herald 1891-current, Wednesday, September 27, 1916; Page: 3",none,general supply depot,not stated,Blackrock,Blackrock Ireland,,,"Louth, Cork oder Dublin???",,Jan. or Feb. 1916,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Blessington,Blessington Ireland ,53.1696579,-6.5340687,Wicklow,Wicklow,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Blessington,Blessington Ireland ,53.1696579,-6.5340687,Wicklow,Wicklow,,[1919],,,,,
"Nenagh Guardian 1838-current, Saturday, September 08, 1917; Page: 2",none,general supply depot,not stated,Borrisokane,,,,,,[1917],[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Borris in Ossory,Borris in Ossory Ireland ,52.9391777,-7.6310983,Queen’s County,Laois,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Boyle,Boyle Ireland ,53.9722082,-8.2972757,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Boyle,Boyle Ireland ,53.9722082,-8.2972757,Roscommon,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Bracklyn,Bracklyn Ireland ,53.5683501,-7.1072059,(West)Meath,,,[1919],,,,,
"Evening Herald 1891-current, Saturday, March 17, 1917; Page: 2",none,general supply depot,not stated,Bray,Bray Ireland ,53.200903,-6.1110741,,,[1917],[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Bray,Bray Ireland ,53.200903,-6.1110741,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Brosna Sta.,Brosna Sta. Ireland ,52.3127106,-9.2707098,Queen’s County,Laois,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Buncrana,Buncrana Ireland ,55.1365797,-7.4560128,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Buncrana,Buncrana Ireland ,55.1365797,-7.4560128,Donegal,Donegal,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5159,general supply depot,ARDCASIN,Buncrans,Buncrans Ireland ,55.1365797,-7.4560128,Donegal,Donegal,,[1919],Colhoun,not stated,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Cabinteely,Cabinteely Ireland ,53.2649538,-6.1595568,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Cahen,Cahen Ireland ,53.1423672,-7.6920536,Tipperary,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Caherdaniel (?),Caherdaniel (?) Ireland ,51.7690125,-10.0995294,Kerry,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Cahersiveen,Cahersiveen Ireland ,51.9477992,-10.2209047,Kerry,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Irish Examiner 1841-current, Thursday, September 09, 1915; Page: 7",none,moss depot (initially installed as general supply depot),not stated,Cahir,Cahir Ireland ,52.3745296,-7.925247,,,1915-1919,[1919],Blakeney,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Cappoquin,Cappoquin Ireland ,52.1462713,-7.8427438,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Cappoquin,Cappoquin Ireland ,52.1462713,-7.8427438,Waterford,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Caragh,Caragh Ireland ,53.2373698,-6.7290731,Kerry,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Carlow,Carlow Ireland ,52.8365072,-6.9341359,Carlow,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4819,general supply depot,THE RECTORY,Carndonagh,Carndonagh Ireland ,55.2506229,-7.2668905,,Donegal,,[1919],Duncan,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Carrickmacross,Carrickmacross Ireland ,53.9779778,-6.7188238,Monaghan,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Carringford (Carlingford),Carringford (Carlingford) Ireland ,54.0468677,-6.190181,Louth,,,[1919],,,,,
"http://www.scarletfinders.co.uk/178.html / Irish Examiner 1841-current, Thursday, September 09, 1915; Page: 7 / Freemans Journal 1763-1924, Thursday, October 21, 1915; Page: 8",1072,general supply depot,"ARDMAYLE / ""a room in the county infirmary""",Cashel,Cashel Ireland ,52.5159097,-7.8915829,,Tipperary,1915-,[1919],Grubb,L.H.,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Cashel,Cashel Ireland ,52.5159097,-7.8915829,,Tipperary,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4096,general supply depot,THE RECTORY,Castlebar,Castlebar Ireland ,53.8550014,-9.2879257,,,,[1919],Lendrum,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Castlebar,Castlebar Ireland ,53.8550014,-9.2879257,Mayo,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,5351,general supply depot,"CARNAGH HOUSE, CARNAGH",Castleblayney,Castleblayney Ireland ,54.120659,-6.7397374,,Monaghan,,[1919],Irwin,not stated,f,single,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Castleconnell,Castleconnell Ireland ,52.7156553,-8.4932473,Tipperary,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1371,general supply depot,RATHGRAFFE RECTORY,Castlepollard,Castlepollard Ireland ,53.6800722,-7.2964508,,Westmeath,,[1919],Drought,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Castlepollard,Castlepollard Ireland ,53.6800722,-7.2964508,Meath,,,[1919],,,,,
"Anglo-Celt 1846-current, Saturday, December 23, 1916; Page: 4",none,general sub-depot (affiliated with Monaghan),not stated,Castleshane,Castleshane Ireland,,,,,[1916],[1919],Mrs. Lucas-Scudamore?,,f,married,
http://www.scarletfinders.co.uk/178.html,5298,general supply depot,BANK OF IRELAND,Cavan,Cavan Ireland ,53.9897186,-7.3633319,,Cavan,,[1919],Jackson,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Celbridge,Celbridge Ireland ,53.339897,-6.5384589,Kildare,Kildare,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Clane,Clane Ireland ,53.293785,-6.6870404,Kildare,Kildare,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Clara,Clara Ireland ,53.3425103,-7.6134801,King's County,Offaly,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Clifden,Clifden Ireland ,53.4891345,-10.0202388,Galway,Galway,,[1919],,,,,
 Royal College of Science Sub-Depot report for 1915 and 1916,moss collection centre,moss collection centre,not stated,Clifden,Clifden Ireland ,53.4891345,-10.0202388,Galway,Galway,,[1919],Ruttledge,Mrs,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Clogheen,Clogheen Ireland ,52.2770794,-7.9951028,Tipperary,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Clonaslee,Clonaslee Ireland ,53.1486014,-7.5243696,Queen’s County,Laois,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Clones,Clones Ireland ,54.1796829,-7.2306671,Monaghan,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1822,general supply depot,"GOVERNOR, H.M. BORSTAL",Clonmel,Clonmel Ireland ,52.3558172,-7.6902551,Tipperary,Tipperary,,[1919],Dobbin,Major W. W.,m,not stated,
"The Nationalist (Tipperary) 1889-current, Saturday, July 31, 1915; Page: 4",,general supply depot,Clonmel Central Technical School,Clonmel,Clonmel Ireland ,52.3558172,-7.6902551,Tipperary,Tipperary,1915,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Clonmel,Clonmel Ireland ,52.3558172,-7.6902551,Tipperary,Tipperary,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4805,general supply depot,not stated,Cloughjordan,Cloughjordan Ireland ,52.9429442,-8.0383372,Tipperary,Tipperary,,[1919],Barr,not stated,f,single,
"Belfast Newsletter 1738-1938, Wednesday, March 27, 1918; Page: 4",none,general supply depot,not stated,Coleraine,Coleraine Ireland,,,,,March 1916,[1919],Knocktarna,Lyle,f,married,see scan
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Cookstown,Cookstown Ireland ,54.6418158,-6.7443895,Tyrone,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Coorhill (or: Cootehill?),Coorhill (or: Cootehill?) Ireland ,54.0725034,-7.0823541,Fermanagh and Cavan (not clearly separated),,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4213,general supply depot,ASHFIELD LODGE,Cootehill,Cootehill Ireland ,54.0725034,-7.0823541,,Cavan,,[1919],Clements,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,4239,general supply depot,11 KING STREET,Cork,Cork Ireland ,51.8985143,-8.4756035,Cork,Cork,,[1919],Starkie,not stated,f,married,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss depot,moss depot,University College,Cork,Cork Ireland ,51.8985143,-8.4756035,Cork,Cork,,[1919],,,,,
 Royal College of Science Sub-Depot report for 1915 and 1916,moss collection centre,moss collection centre,not stated,Costelloe,Costelloe Ireland ,53.2879391,-9.5499547,Galway,,,[1919],Crozier,"T. F., Esq.",m,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Craiguenamanagh,Craiguenamanagh Ireland ,52.5415402,-6.9555948,Kilkenny,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Crossmolina,Crossmolina Ireland ,54.100342,-9.3158456,Mayo,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4376,general supply depot,GLENDARAGH,Crumlin,Crumlin Ireland ,53.3252584,-6.3089222,,,,[1919],McClintock,C. E.,f,married,
http://www.scarletfinders.co.uk/178.html,5233,general supply depot,CULDAFF HOUSE,Culdaff,Culdaff Ireland ,55.2859437,-7.1651352,,,,[1919],Young,R. C.,f,married,
http://www.scarletfinders.co.uk/178.html,5491,general supply depot,not stated,Dartrey,Dartrey Ireland ,54.1103453,-7.0635633,,,,[1919],Dartrey,"The Countess of
",f,unkown,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Derryclare,Derryclare Ireland ,53.4711744,-9.777187,Galway,,,[1919],,,,,
"Derry Journal 1844-1924, Monday, December 13, 1915; Page: 3 / Derry Journal 1844-1924, Wednesday, February 23, 1916; Page: 2 / Derry Journal 1844-1924, Friday, November 24, 1916; Page: 7",none,regional moss depot for the NORTH WEST OF IRELAND,STRAND HOUSE,Derry / Londonderry,Londonderry Ireland,,,,,[01/01/1916],[1919],Lily E. Anderson (Mayoress) / the Duchess of Abercorn,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",moss collection centre,moss collection centre,not stated,Donadea,Donadea Ireland ,53.350377,-6.7344379,Kildare,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,4926,general supply depot,THE MANSE,Donegal,Donegal Ireland ,54.653827,-8.1096143,,Donegal,,[1919],Neilson,N.B.,f,single,
http://www.scarletfinders.co.uk/178.html,4936,general supply depot,"SALT HILL, MOUNTCHARLES",Donegal,Donegal Ireland ,54.653827,-8.1096143,,Donegal,,[1919],Pomeroy,J.,f,single,
http://www.scarletfinders.co.uk/178.html,4971,general supply depot or local work party,BALLINTRA,Donegal,Donegal Ireland ,54.653827,-8.1096143,,Donegal,,[1919],Sims Williams,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5012,general supply depot,"THE RECTORY, GLENCOLUMBKILLE",Donegal,Donegal Ireland ,54.653827,-8.1096143,,Donegal,,[1919],Munro,not stated,f,married,
"Drogheda Independent 1884-current, Saturday, November 27, 1915; Section: Front page, Page: 1",none,general supply depot,PLATTEN HALL,Drogheda,Drogheda Ireland,,,,,1915,,Viscountess Gormanstown?,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Drumahair,Drumahair Ireland ,54.2306704,-8.3026235,Sligo,,,[1919],,,,,
